from_section,to_section,edge_type
019,050,mentioned_dependency_or_related
019,051,mentioned_dependency_or_related
019,052,mentioned_dependency_or_related
019,053,mentioned_dependency_or_related
019,054,mentioned_dependency_or_related
019,055,mentioned_dependency_or_related
019,056,mentioned_dependency_or_related
019,057,mentioned_dependency_or_related
019,058,mentioned_dependency_or_related
019,059,mentioned_dependency_or_related
019,060,mentioned_dependency_or_related
019,075,mentioned_dependency_or_related
019,106,mentioned_dependency_or_related
019,107,mentioned_dependency_or_related
019,151,mentioned_dependency_or_related
019,167,mentioned_dependency_or_related
019,178,mentioned_dependency_or_related
019,182,mentioned_dependency_or_related
019,183,mentioned_dependency_or_related
019,189,mentioned_dependency_or_related
019,217,mentioned_dependency_or_related
019,218,mentioned_dependency_or_related
019,219,mentioned_dependency_or_related
019,220,mentioned_dependency_or_related
019,222,mentioned_dependency_or_related
019,226,mentioned_dependency_or_related
019,227,mentioned_dependency_or_related
019,231,mentioned_dependency_or_related
019,246,mentioned_dependency_or_related
019,247,mentioned_dependency_or_related
019,251,mentioned_dependency_or_related
019,252,mentioned_dependency_or_related
019,253,mentioned_dependency_or_related
019,256,mentioned_dependency_or_related
019,257,mentioned_dependency_or_related
019,289,mentioned_dependency_or_related
019,301,mentioned_dependency_or_related
019,303,mentioned_dependency_or_related
019,319,mentioned_dependency_or_related
019,326,mentioned_dependency_or_related
019,327,mentioned_dependency_or_related
019,331,mentioned_dependency_or_related
019,332,mentioned_dependency_or_related
019,333,mentioned_dependency_or_related
019,341,mentioned_dependency_or_related
019,374,mentioned_dependency_or_related
019,382,mentioned_dependency_or_related
019,383,mentioned_dependency_or_related
019,388,mentioned_dependency_or_related
019,389,mentioned_dependency_or_related
019,390,mentioned_dependency_or_related
019,405,mentioned_dependency_or_related
019,406,mentioned_dependency_or_related
020,001,mentioned_dependency_or_related
020,002,mentioned_dependency_or_related
020,003,mentioned_dependency_or_related
020,004,mentioned_dependency_or_related
020,005,mentioned_dependency_or_related
020,006,mentioned_dependency_or_related
020,007,mentioned_dependency_or_related
020,008,mentioned_dependency_or_related
020,009,mentioned_dependency_or_related
020,010,mentioned_dependency_or_related
020,011,mentioned_dependency_or_related
020,012,mentioned_dependency_or_related
020,013,mentioned_dependency_or_related
020,014,mentioned_dependency_or_related
020,015,mentioned_dependency_or_related
020,016,mentioned_dependency_or_related
020,017,mentioned_dependency_or_related
020,018,mentioned_dependency_or_related
020,019,mentioned_dependency_or_related
020,021,mentioned_dependency_or_related
020,022,mentioned_dependency_or_related
020,023,mentioned_dependency_or_related
020,024,mentioned_dependency_or_related
020,025,mentioned_dependency_or_related
020,026,mentioned_dependency_or_related
020,027,mentioned_dependency_or_related
020,028,mentioned_dependency_or_related
020,029,mentioned_dependency_or_related
020,030,mentioned_dependency_or_related
020,031,mentioned_dependency_or_related
020,032,mentioned_dependency_or_related
020,033,mentioned_dependency_or_related
020,034,mentioned_dependency_or_related
020,035,mentioned_dependency_or_related
020,036,mentioned_dependency_or_related
020,037,mentioned_dependency_or_related
020,038,mentioned_dependency_or_related
020,039,mentioned_dependency_or_related
020,040,mentioned_dependency_or_related
020,041,mentioned_dependency_or_related
020,042,mentioned_dependency_or_related
020,043,mentioned_dependency_or_related
020,044,mentioned_dependency_or_related
020,045,mentioned_dependency_or_related
020,046,mentioned_dependency_or_related
020,047,mentioned_dependency_or_related
020,048,mentioned_dependency_or_related
020,049,mentioned_dependency_or_related
020,050,mentioned_dependency_or_related
020,051,mentioned_dependency_or_related
020,052,mentioned_dependency_or_related
020,053,mentioned_dependency_or_related
